ID,Fonte,Paginas_ou_secao,Etapa,Nivel,Tratamento,Criterio_ou_evidencia,Detalhamento,Fases_v02,Implementacao
RF16,R,6,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF17,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF18,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF19,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF20,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF21,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF22,R,6,E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E09,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF23,R,6,E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E09,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF24,R,6,E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E09,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF25,R,6,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF26,R,6,E10/E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10/E12,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF27,R,6,E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E12,PLANO_TECNICO.md,8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF28,R,6,E07/E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07/E10,PLANO_TECNICO.md,1/4/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF29,R,6,E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E12,PLANO_TECNICO.md,8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF30,R,6,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF31,R,6,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF32,R,6,E03/E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E10,PLANO_TECNICO.md,1/2/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF33,R,6,E07/E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07/E10,PLANO_TECNICO.md,1/4/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF34,R,6,E04/E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E04/E10,PLANO_TECNICO.md,1/6/7/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF35,R,6,E01/E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E01/E10,PLANO_TECNICO.md,1/6/8/9,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF36,R,6,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF37,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF38,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF39,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF40,R,6,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF41,R,7,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF42,R,7,E03,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03,PLANO_TECNICO.md,2,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF43,R,7,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF44,R,7,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF45,R,7,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF46,R,7,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RF47,R,7,E11,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E11,PLANO_TECNICO.md,6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN01,R,4,E02/E03,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02/E03,PLANO_TECNICO.md,1/2/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN02,R,4,E03/E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E12,PLANO_TECNICO.md,2/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN03,R,4,E03,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03,PLANO_TECNICO.md,2,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN04,R,4,E03,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03,PLANO_TECNICO.md,2,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN05,R,4,E03/E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E05,PLANO_TECNICO.md,2/3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN06,R,4,E03/E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E07,PLANO_TECNICO.md,2/4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN07,R,4,E03/E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E09,PLANO_TECNICO.md,2/5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN08,R,4,E06,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E06,PLANO_TECNICO.md,3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN09,R,4,E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05,PLANO_TECNICO.md,3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN10,R,4,E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05,PLANO_TECNICO.md,3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN11,R,4,E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E12,PLANO_TECNICO.md,8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN12,R,4,E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E12,PLANO_TECNICO.md,8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN13,R,4,E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E12,PLANO_TECNICO.md,8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN14,R,4,E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E12,PLANO_TECNICO.md,8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN15,R,4,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN16,R,4,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN17,R,4,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN18,R,4,E02/E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02/E05,PLANO_TECNICO.md,1/3/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN19,R,5,E05/E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05/E07,PLANO_TECNICO.md,3/4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN20,R,5,E02,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02,PLANO_TECNICO.md,1/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN21,R,5,E03/E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E08,PLANO_TECNICO.md,2/5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN22,R,5,E03,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03,PLANO_TECNICO.md,2,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN23,R,5,E03/E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E10,PLANO_TECNICO.md,1/2/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN24,R,5,E03/E04,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E04,PLANO_TECNICO.md,2/7,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RN25,R,5,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF01,R,7,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF02,R,7,E01/E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E01/E07,PLANO_TECNICO.md,1/4/9,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF03,R,7,E05/E11,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05/E11,PLANO_TECNICO.md,3/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF04,R,7,E02,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02,PLANO_TECNICO.md,1/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF05,R,7,E05/E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05/E09,PLANO_TECNICO.md,3/5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF06,R,7,E02/E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02/E12,PLANO_TECNICO.md,1/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF07,R,7,E01/E13,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E01/E13,PLANO_TECNICO.md,1/8/9,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF08,R,7,E03/E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E07,PLANO_TECNICO.md,2/4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF09,R,7,E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05,PLANO_TECNICO.md,3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF10,R,7,E11,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E11,PLANO_TECNICO.md,6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF11,R,7,E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E09,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF12,R,7,E11,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E11,PLANO_TECNICO.md,6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF13,R,8,E03/E10/E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E10/E12,PLANO_TECNICO.md,1/2/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
RNF14,R,8,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC01,R,8;9,E02/E03,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02/E03,PLANO_TECNICO.md,1/2/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC02,R,9;10,E02,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02,PLANO_TECNICO.md,1/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC03,R,9;10,E04,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E04,PLANO_TECNICO.md,7,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC04,R,9;10,E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05,PLANO_TECNICO.md,3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC05,R,9;11,E06,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E06,PLANO_TECNICO.md,3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC06,R,9;11,E03,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03,PLANO_TECNICO.md,2,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC07,R,9;11,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC08,R,9;12,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC09,R,9;12,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC10,R,9;12,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC11,R,9;12,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC12,R,9;13,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC13,R,9,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC14,R,9,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC15,R,9,E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E09,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC16,R,9,E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E09,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC17,R,9,E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E09,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC18,R,9,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC19,R,9,E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E12,PLANO_TECNICO.md,8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC20,R,9,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC21,R,9,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC22,R,9,E03/E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E10,PLANO_TECNICO.md,1/2/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC23,R,9,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC24,R,9,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
UC25,R,9,E12,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E12,PLANO_TECNICO.md,8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA01,R,19,E02/E03,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E02/E03,PLANO_TECNICO.md,1/2/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA02,R,19,E04,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E04,PLANO_TECNICO.md,7,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA03,R,19,E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05,PLANO_TECNICO.md,3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA04,R,19,E06,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E06,PLANO_TECNICO.md,3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA05,R,19,E03,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03,PLANO_TECNICO.md,2,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA06,R,19,E05,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E05,PLANO_TECNICO.md,3,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA07,R,19,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA08,R,19,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA09,R,19,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA10,R,19,E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E08,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA11,R,19,E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E09,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA12,R,19,E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E09,PLANO_TECNICO.md,5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA13,R,19,E03/E09,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E09,PLANO_TECNICO.md,2/5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA14,R,19,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA15,R,19,E10,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E10,PLANO_TECNICO.md,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA16,R,19,E03/E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E08,PLANO_TECNICO.md,2/5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA17,R,19,E03/E08,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E03/E08,PLANO_TECNICO.md,2/5/6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA18,R,20,E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E07,PLANO_TECNICO.md,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA19,R,20,E04/E07,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E04/E07,PLANO_TECNICO.md,4/7,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
CA20,R,20,E11,Requisito/critério documental,Preservado,BACKLOG_MVP.md: E11,PLANO_TECNICO.md,6,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
SEC-ADM-001,S,15,E10,MUST,Obrigatório para produção,BACKLOG_MVP.md: E10,PLANO_TECNICO.md §10,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
SEC-ADM-002,S,15,E10,MUST,Obrigatório para produção,BACKLOG_MVP.md: E10,PLANO_TECNICO.md §10,1/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
SEC-AI-001,S,14,E07,MUST,Obrigatório para produção,BACKLOG_MVP.md: E07,PLANO_TECNICO.md §10,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
SEC-AI-002,S,14,E07,MUST,Obrigatório para produção,BACKLOG_MVP.md: E07,PLANO_TECNICO.md §10,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
SEC-AI-003,S,14,E07,MUST,Obrigatório para produção,BACKLOG_MVP.md: E07,PLANO_TECNICO.md §10,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
SEC-AI-004,S,14,E07,MUST,Obrigatório para produção,BACKLOG_MVP.md: E07,PLANO_TECNICO.md §10,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
SEC-AI-005,S,14,E07,SHOULD,Recomendação rastreada,BACKLOG_MVP.md: E07,PLANO_TECNICO.md §10,4,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
SEC-API-001,S,14,E02/E05/E10,MUST,Obrigatório para produção,BACKLOG_MVP.md: E02/E05/E10,PLANO_TECNICO.md §10,1/3/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
SEC-API-002,S,14,E02/E05/E10,MUST,Obrigatório para produção,BACKLOG_MVP.md: E02/E05/E10,PLANO_TECNICO.md §10,1/3/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
SEC-API-003,S,14,E02/E05/E10,MUST,Obrigatório para produção,BACKLOG_MVP.md: E02/E05/E10,PLANO_TECNICO.md §10,1/3/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
SEC-API-004,S,14,E02/E05/E10,MUST,Obrigatório para produção,BACKLOG_MVP.md: E02/E05/E10,PLANO_TECNICO.md §10,1/3/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
SEC-API-005,S,14,E02/E05/E10,MUST,Obrigatório para produção,BACKLOG_MVP.md: E02/E05/E10,PLANO_TECNICO.md §10,1/3/6/8,Ver STATUS_IMPLEMENTACAO.md; presença no backlog não significa concluído
